TourID_Dimension,TourHasLodging,TourAccommodationName,ProgramsBu,Close Rate Curr,Average Sale Curr,VPGnn Curr,Rescind Vol,Rescind%(Sales),,,,,
116827,TRUE,DoubleTree,Outbound,1,"$14,730 ","$14,730 ",$0 ,0,,,,,
195675,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
200328,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
216620,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
220640,TRUE,Beaver Run,Outbound,1,"$15,490 ","$15,490 ",$0 ,0,,,,,
222119,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
222580,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,"$22,584 ",1,,,,,
228923,TRUE,Breck Inn,Outbound,1,"$15,600 ","$15,600 ",$0 ,0,,,,,
230234,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,z
230739,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
230841,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
233965,TRUE,Breck Inn,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
235805,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
237201,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
241380,TRUE,Breck Inn,Outbound,1,"$18,670 ","$18,670 ",$0 ,0,,,,,
247180,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
248711,TRUE,Beaver Run,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
250614,TRUE,RQ,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
251719,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
251887,TRUE,Ski Village,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
254638,TRUE,Ski Village,Outbound,1,"$18,990 ","$18,990 ",$0 ,0,,,,,
254953,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
258762,TRUE,Grand Timber,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
258934,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
259668,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
261365,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
265861,TRUE,GC8,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
267819,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
269440,TRUE,GL7,Front Ran,0,$0 ,$0 ,$0 ,0,,,,,
270573,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
271530,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
271705,TRUE,Breck Inn,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
273067,TRUE,Grand Timber,Outbound,0,$0 ,$0 ,$0 ,0,,,,,
